,train_loss,val_loss
0,138486.88004032258,133509.21276184754
1,131009.66281850549,130681.54981541896
2,129499.02666008922,129790.58087225274
3,128769.08730482156,129229.07533482143
4,128269.80693419698,128837.36334563873
5,127826.72982798559,128386.36607142857
6,127476.72831052677,128173.11871136675
7,127216.06384051133,127900.84896548763
8,126989.30299845574,127789.08145175138
9,126796.8747747941,127572.60916037088
10,126642.45868007893,127416.91595123627
11,126494.82155649451,127323.57840401786
12,126382.00865434112,127187.66350446429
13,126261.07887568635,127139.75543011675
14,126166.6681108442,127024.48031850961
15,126072.74193548386,126977.14835164836
16,125995.0695671757,126878.08973643545
17,125925.74745839053,126843.7679429945
18,125856.02311041523,126790.86875429258
19,125790.34617900652,126691.75367015797
20,125744.48543132293,126654.58559409341
21,125674.29017780542,126630.68473128435
22,125630.43247040152,126595.63401442308
23,125590.37052269217,126542.90659340659
24,125556.85925167295,126522.20132211539
25,125512.63117171414,126486.02678571429
26,125476.30315395504,126540.26442307692
27,125441.83080066061,126428.53588598901
28,125409.07720272821,126452.77204241071
29,125381.58288113418,126378.61879721841
30,125352.17212165409,126371.82615041209
31,125325.85626501373,126322.68507469093
32,125297.78762010981,126325.94108430632
33,125276.98419269046,126296.20855511675
34,125253.60396469629,126271.88064474588
35,125226.16364426046,126289.94020432692
36,125195.05304671414,126227.3874270261
37,125181.25232712766,126239.7393543956
38,125168.44544118909,126206.21913633242
39,125147.15631434454,126190.17556662088
40,125125.1096002059,126189.44370278159
41,125111.73264305937,126170.9005623283
42,125094.17513512354,126162.79159512362
43,125083.0528644046,126129.31194196429
44,125058.01728723405,126121.99480597528
45,125046.5564033545,126116.56606284341
46,125025.94916244852,126104.80043784341
47,125013.13343449726,126101.42024381868
48,125002.81736337508,126083.92412860577
49,124990.37896255148,126072.53376116071
50,124972.20989190116,126073.65773094093
51,124964.23942604667,126058.98031850961
52,124949.64224969973,126035.04007125687
53,124939.2007817862,126041.7940418956
54,124929.93558038778,126029.13195398351
55,124915.98146877145,126004.66464199862
56,124902.67648099692,126051.95048506181
57,124893.27055808167,126011.10619848901
58,124885.14507013555,125989.60499656593
59,124872.88393852951,125984.18726390797
60,124862.84485458133,125974.82151442308
61,124850.87179885896,125959.6587396978
62,124848.007458605,125946.59544557006
63,124836.1651402711,125988.73727249313
64,124824.86218471173,125983.75738324175
65,124812.57074682567,125953.80784254808
66,124808.9102500858,125928.68000944368
67,124799.90735458133,125924.53440504808
68,124792.37725205903,125907.3638178228
69,124781.21723790323,125927.51796445742
70,124772.53152882635,125894.77212826237
71,124765.11999184969,125916.9124742445
72,124760.67041652367,125896.3783696772
73,124745.06824811256,125940.73907537774
74,124742.45282472546,125893.87036401099
75,124735.29099819835,125881.79429945054
76,124730.9754847289,125903.80217633929
77,124720.32883278998,125875.28318166209
78,124716.60235072066,125869.21310525412
79,124707.795689988,125872.68211280907
